Model,MSE,RMSE,MAE,R2,MAPE,DA
NaiveForecastModel,2657.86926,51.554527,37.104575,0.953655,1.642761,46.644845
ARIMAModel,2702.851435,51.988955,37.403648,0.95287,1.656365,45.499182
TLS_LSTMModel,2797.857551,52.894778,37.480261,0.951214,1.65843,46.972177
GRU_Model,2781.555807,52.740457,37.986313,0.951498,1.681367,46.972177
HybridLSTMAttention,396977.939595,630.061854,570.260926,-5.922099,26.99615,51.391162
BidirectionalDeepLSTM,2807.490271,52.985755,37.709667,0.951046,1.668257,47.790507
ContextualLSTMTransformerFlexible,561094.804342,749.062617,709.750268,-8.783802,33.112173,51.391162
FinalOptimizedModel,2665.689892,51.630319,37.160035,0.953518,1.646942,45.171849
