Model,MSE,RMSE,MAE,R2,MAPE,DA
NaiveForecastModel,2.7e-05,0.005177,0.003929,0.974375,0.370586,50.131926
ARIMAModel,2.7e-05,0.005214,0.00396,0.974016,0.37353,50.527704
