Modelo,RMSE_Eval,R2_Eval,DA_Eval,RMSE_Train,R2_Train,DA_Train,Parámetros
BidirectionalDeepLSTMModel,0.006302137070944211,0.9633373511882666,51.07238605898124,0.006302137070944211,0.9633373511882666,0.5107238605898123,88301
TLS_LSTMModel_Optimizado,0.006325536357594199,0.9630645953164718,50.402144772117964,0.006325536357594199,0.9630645953164718,0.5040214477211796,200833
HybridLSTMAttentionModel,0.00705919564587824,0.9539999200763989,50.402144772117964,0.00705919564587824,0.9539999200763989,0.5040214477211796,34202
GRU_Model,0.011393601774297228,0.8801687136734461,50.26809651474531,0.011393601774297228,0.8801687136734461,0.5026809651474531,54351
TLS_LSTMModel,0.012780714016143013,0.8492149156285086,49.865951742627345,0.012780714016143013,0.8492149156285086,0.49865951742627346,31651
ContextualLSTMTransformerFlexible,0.01628688202576078,0.7551365014521875,52.41286863270778,0.01628688202576078,0.7551365014521875,0.5241286863270778,134977
